store,network,sales_2025,share,cum_share
HIROTA IPIRANGA 03 SP,HIROTA,37413.60000000002,0.0014958768257719926,0.8984874602860226
UNIAO BRAGANCA 05,UNIAO,37378.330000000075,0.001494466654720693,0.8999819269407432
PA GRANJA SAO CAMILO 1885,GPA,37224.559999999925,0.0014883185968086188,0.9014702455375518
COVABRA 16 RIO CLARO,COVABRA,37118.38000000008,0.0014840732902527075,0.9029543188278045
EMPORIO DO VOVO  PIRACICABA,EMP. VOVO,35937.18000000012,0.0014368463538819273,0.9043911651816865
PA MANDAQUI 2081,GPA,35791.60999999988,0.001431026149744181,0.9058221913314307
SAVEGNAGO RP 08,SAVEGNAGO,35553.08000000005,0.0014214892033062245,0.9072436805347369
OBA AMERICANA CILUS,OBA,35280.65999999988,0.0014105972612082423,0.9086542777959452
CARREFOUR CPS CAM SHOP BIG WMB,CARREFOUR,35251.549999999836,0.0014094333803093637,0.9100637111762546
DIA CPS TAQUARAL,OBA,35134.79000000004,0.0014047650624202314,0.9114684762386749
SAN MICHEL POCOS DE CALDAS 06,SAN MICHEL,34968.56000000008,0.0013981188266998512,0.9128665950653747
SAVEGNAGO SAO CARLOS 35,SAVEGNAGO,34723.57000000001,0.0013883235954591797,0.9142549186608339
PA MARACATINS 2435,GPA,34398.98999999992,0.0013753461834991117,0.915630264844333
SUPERMERCADO NOVA MAKIM,NOVA MAKIM,34352.300000000025,0.0013734794160938063,0.9170037442604267
MINUTO PAO PAMPLONA 129,GPA,34180.68999999988,0.001366618076311723,0.9183703623367385
PA PACAEMBU 0039,GPA,33832.639999999905,0.0013527022828780544,0.9197230646196166
BUONA GENTE,BUONA GENTE,33780.46000000003,0.001350616013372618,0.9210736806329892
PA DR. CESAR 2464,GPA,33561.759999999944,0.0013418719133181868,0.9224155525463074
ST MARCHE BROOKLIN 36 SP,ST MARCHE,33483.54000000007,0.00133874450816841,0.9237542970544758
UNIAO BRAGANCA 12,UNIAO,33337.09000000005,0.001332889119723183,0.9250871861741989
NATURAL DA TERRA ITAIM BIBI SP,NATURAL DA TERRA,33240.069999999985,0.0013290100498224919,0.9264161962240214
SAN MICHEL POCOS DE CALDAS 05,SAN MICHEL,33140.16000000006,0.0013250154314574385,0.9277412116554788
PALATO SUPERMERCADO LOJA 01,PALATO,32427.82999999997,0.0012965349340099248,0.9290377465894888
BOA JUNDIAI 14,BOA,31975.79000000008,0.0012784613949673894,0.9303162079844561
