store,network,state,city,sales_2024,sales_2025,qty_2024,qty_2025,price_2025,sort_2025,growth_abs,growth_pct
BOA SOROCABA 12,BOA,SP,SOROCABA,2480.49,67199.01000000013,1109.0,21975.0,3.0579754266211663,16,64718.52000000013,26.09102233832837
SAVEGNAGO RP 25,SAVEGNAGO,SP,RIBEIRAO PRETO,47807.460000000196,66800.15000000018,15681.0,21730.0,3.0740980211688993,29,18992.689999999988,0.3972746094437962
PA SANTO AMARO 0170,GPA,SP,SAO PAULO,54692.65999999983,66684.63999999988,13650.0,16248.0,4.10417528311176,17,11991.980000000054,0.21926123176309376
LAVAPES 02 TUCURA,CUBATAO,SP,MOJI-MIRIM,46183.94000000007,66414.41000000003,14078.0,25915.0,2.5627786995948303,28,20230.469999999965,0.43804123251502447
HIROTA JABAQUARA  02 SP,HIROTA,SP,SAO PAULO,49212.63999999968,65549.78999999978,15131.0,21083.0,3.109130104823781,20,16337.150000000096,0.33197060755123475
PA VILA ROMANA 2068,GPA,SP,SAO PAULO,70443.41999999975,65468.33999999981,17786.0,15983.0,4.096123381092399,17,-4975.0799999999435,-0.07062519111082288
CASA DELIZA ARARAQUARA,CASA DELIZA,SP,ARARAQUARA,71065.7500000002,65020.77999999953,21498.0,19147.0,3.395872982712672,29,-6044.970000000671,-0.08506165065450877
SAVEGNAGO RP 16,SAVEGNAGO,SP,RIBEIRAO PRETO,58297.3500000003,64838.919999999984,20546.0,21566.0,3.0065343596401735,29,6541.569999999687,0.11221041779771546
PA ABILIO SOARES 2384,GPA,SP,SAO PAULO,64552.03999999983,63066.069999999825,15922.0,14678.0,4.296639187900247,17,-1485.9700000000084,-0.0230197217624728
VILLA SIMPATIA EMMA LJ 01,VILLA REAL,SP,SAO JOSE DOS CAMPOS,28169.389999999985,62777.399999999965,7636.0,18691.0,3.358696698946015,28,34608.00999999998,1.2285679597605768
MINI MERCADO HAGAPES SP,HAGAPE,SP,SAO PAULO,41639.50000000006,62295.32000000015,11487.0,16617.0,3.748890894866712,22,20655.820000000094,0.49606311314977525
CARREFOUR SP PINHEIROS SPP,CARREFOUR,SP,SAO PAULO,5981.7399999999925,62093.3199999998,1210.0,12637.0,4.913612408008214,28,56111.57999999981,9.380477921139983
PA SP MORUMBI 1688,GPA,SP,SAO PAULO,30716.79999999994,61351.78999999983,7817.0,15396.0,3.984917511041818,12,30634.989999999892,0.9973366366288139
PA JUNDIAI 0465,GPA,SP,JUNDIAI,54616.72999999995,61194.96999999962,13083.0,14696.0,4.164056205770252,16,6578.2399999996705,0.1204436809014322
PA PROENCA 0189,GPA,SP,CAMPINAS,51186.65999999981,61010.94999999956,13142.0,15190.0,4.01652073732716,17,9824.289999999753,0.19193067099904138
CENOURAO RP 03,CENOURAO,SP,RIBEIRAO PRETO,48731.270000000215,60727.57000000036,12614.0,15576.0,3.8987910888546713,16,11996.300000000148,0.24617252946619472
SAVEGNAGO RIO CLARO 36,SAVEGNAGO,SP,RIO CLARO,41908.38000000019,59989.91000000021,13621.0,19660.0,3.051368769074273,29,18081.53000000002,0.4314538047044514
PA PEDROSO 1231,GPA,SP,SAO PAULO,54841.229999999894,59703.38999999968,13626.0,14450.0,4.131722491349459,12,4862.159999999785,0.08865884299093563
